Кол-во комнат,Район,Этажность,Общая площадь,Жилая площадь,Площадь кухни,Планировка,Цена
1,"Автозаводский, 31 квартал",8/12,34,13,4,УЛУ/КИР,500 тыс. pуб.
1,"Автозаводский, 12 квартал",9/9,13,13,1,ИЗЛ/КИР,500 тыс. pуб.
1,"Автозаводский, 12 квартал",1/9,29,0,16,ГСТ/КИР,1100 тыс. pуб.
1,"Автозаводский, 4 квартал",1/9,16,16,2,МСК/ПАН,1199 тыс. pуб.
1,"Автозаводский, 9 квартал",5/9,46,19,6,ЭКС/ПАН,1250 тыс. pуб.
1,"Автозаводский, 10 квартал",1/9,16,12,4,МСК/ПАН,1300 тыс. pуб.
1,"Автозаводский, 5 квартал",5/9,63,21,8,МСК/ПАН,1360 тыс. pуб.
1,"Автозаводский, 14 квартал",1/9,17,15,2,МСК/ПАН,1560 тыс. pуб.
1,"Автозаводский, 31 квартал",10/12,35,24,0,УЛУ/КИР,1600 тыс. pуб.
1,"Автозаводский, 32 квартал",2/4,25,21,0,УЛУ/КИР,1600 тыс. pуб.
1,"Автозаводский, 31 квартал",9/12,34,16,10,УЛУ/КИР,1700 тыс. pуб.
1,"Автозаводский, 13 квартал",2/16,30,17,7,ТАШ/ПАН,1700 тыс. pуб.
1,"Автозаводский, 5 квартал",2/5,29,15,7,ТРМ/ПАН,1750 тыс. pуб.
1,"Автозаводский, 6 квартал",2/5,29,14,0,СТМ/ПАН,1800 тыс. pуб.
1,"Автозаводский, 4 квартал",2/5,29,15,6,СТМ/ПАН,1830 тыс. pуб.
1,"Автозаводский, 9 квартал",2/5,29,17,7,САМ/ПАН,1890 тыс. pуб.
1,"Автозаводский, 7 квартал",1/5,27,14,6,СТМ/ПАН,1899 тыс. pуб.
1,"Автозаводский, 12 квартал",10/12,32,17,8,ТАШ/ПАН,1899 тыс. pуб.
1,"Автозаводский, 3 квартал",10/16,32,17,8,ТАШ/ПАН,1900 тыс. pуб.
1,"Автозаводский, 2 квартал",2/5,29,14,7,СТМ/ПАН,1930 тыс. pуб.
1,"Автозаводский, 1 квартал",4/5,30,17,6,СТМ/ПАН,1950 тыс. pуб.
1,"Автозаводский, 5 квартал",1/5,29,16,7,СТМ/ПАН,1950 тыс. pуб.
1,"Автозаводский, 5 квартал",5/5,32,17,7,СТМ/ПАН,1950 тыс. pуб.
1,"Автозаводский, 3 квартал",15/16,32,17,8,ТАШ/ПАН,1950 тыс. pуб.
1,"Автозаводский, 18Б квартал",1/10,24,15,0,ЭЛТ/БЛЧ,1950 тыс. pуб.
1,"Автозаводский, 4 квартал",2/5,30,14,6,СТМ/ПАН,1980 тыс. pуб.
1,"Автозаводский, 5 квартал",5/5,30,17,6,СТМ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 2 квартал",7/9,33,19,7,СТМ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 10 квартал",6/16,32,18,8,ТАШ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 7 квартал",1/9,33,18,9,СТМ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 7 квартал",2/9,31,18,7,СТМ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 15 квартал",16/16,32,17,8,ТАШ/ПАН,2000 тыс. pуб.
1,"Автозаводский, 20 квартал",3/9,30,13,7,МСК/ПАН,2000 тыс. pуб.
1,"Автозаводский, 2 квартал",9/9,33,19,7,СТМ/ПАН,2050 тыс. pуб.
1,"Автозаводский, 9 квартал",9/9,33,17,8,МСК/ПАН,2050 тыс. pуб.
1,"Автозаводский, 8 квартал",6/16,33,17,8,ТАШ/ПАН,2050 тыс. pуб.
1,"Автозаводский, 7 квартал",4/16,32,17,9,ТАШ/ПАН,2050 тыс. pуб.
1,"Автозаводский, 6А квартал",2/3,22,13,3,УЛУ/КИР,2055 тыс. pуб.
1,"Автозаводский, 2 квартал",2/16,32,17,8,ТАШ/ПАН,2080 тыс. pуб.
1,"Автозаводский, 5 квартал",6/16,33,17,8,ТАШ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 4 квартал",4/5,30,17,7,СТМ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 32 квартал",8/18,28,16,0,УЛУ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 2 квартал",7/9,34,18,8,СТМ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 2 квартал",9/9,33,18,7,СТМ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 10 квартал",1/5,33,18,6,СТМ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 10 квартал",9/12,34,18,9,ОЛМ/ПАН,2100 тыс. pуб.
1,"Автозаводский, 8 квартал",7/16,32,17,8,ТАШ/ПАН,2100 тыс. pуб.
